[17:21:36][worker] Started (pid=1046039)
[17:21:36][worker] Redis connected
[17:21:36][worker] [task_manager_api_tier1_minimal_bad_early_degrade] Starting (1/30)
[17:53:15][worker] [task_manager_api_tier1_minimal_bad_early_degrade] FAILED ret=0 (1899s)
[17:53:15][worker] [task_manager_api_tier2_small_bad_early_degrade] Starting (2/30)
[18:12:46][worker] [task_manager_api_tier2_small_bad_early_degrade] OK (1171s)
[18:12:46][worker] [static_site_gen_tier1_minimal_bad_clean] Starting (3/30)
[18:42:06][worker] [static_site_gen_tier1_minimal_bad_clean] OK (1760s)
[18:42:06][worker] [static_site_gen_tier2_small_good_early_degrade] Starting (4/30)
[19:11:31][worker] [static_site_gen_tier2_small_good_early_degrade] OK (1765s)
[19:11:31][worker] [notification_service_tier1_minimal_good_early_degrade] Starting (5/30)
[19:45:15][worker] [notification_service_tier1_minimal_good_early_degrade] OK (2024s)
[19:46:14][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:47:07][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:48:16][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:49:24][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:50:34][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:51:42][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:52:51][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:54:00][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:55:09][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:56:18][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:57:25][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:58:34][worker] Redis error: Timeout reading from socket, retrying in 10s
[20:59:43][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:00:52][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:02:01][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:03:09][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:04:18][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:05:27][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:06:38][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:07:47][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:08:56][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:10:04][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:11:14][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:12:23][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:13:31][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:14:40][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:15:49][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:16:59][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:18:08][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:19:17][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:20:27][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:21:36][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:22:45][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:23:54][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:25:02][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:26:11][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:27:21][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:28:30][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:29:39][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:30:48][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:31:58][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:33:07][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:34:16][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:35:25][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:36:34][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:37:43][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:38:52][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:40:01][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:41:10][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:42:19][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:43:28][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:44:37][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:45:46][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:46:55][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:48:05][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:49:13][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:50:22][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:51:32][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:52:40][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:53:49][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:54:59][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:56:08][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:57:16][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:58:25][worker] Redis error: Timeout reading from socket, retrying in 10s
[21:59:34][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:00:44][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:01:53][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:03:01][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:04:09][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:05:18][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:06:26][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:07:35][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:08:45][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:09:54][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:11:03][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:12:11][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:13:19][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:14:29][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:15:37][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:16:46][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:17:56][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:19:05][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:20:14][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:21:22][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:22:30][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:23:40][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:24:49][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:25:57][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:27:06][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:28:14][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:29:23][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:30:32][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:31:42][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:32:52][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:34:01][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:35:10][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:36:19][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:37:28][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:38:37][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:39:46][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:40:55][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:42:04][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:43:13][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:44:21][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:45:30][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:46:39][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:47:48][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:48:56][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:50:06][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:51:14][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:52:23][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:53:31][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:54:41][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:55:50][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:57:00][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:58:09][worker] Redis error: Timeout reading from socket, retrying in 10s
[22:59:17][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:00:27][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:01:35][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:02:43][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:03:52][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:05:01][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:06:09][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:07:18][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:08:27][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:09:35][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:10:44][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:11:53][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:13:02][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:14:10][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:15:19][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:16:27][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:17:36][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:18:44][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:19:51][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:21:00][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:22:10][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:23:19][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:24:29][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:25:38][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:26:47][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:27:56][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:29:04][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:30:13][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:31:23][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:32:32][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:33:42][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:34:51][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:36:01][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:37:10][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:38:19][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:39:28][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:40:37][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:41:47][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:42:56][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:44:04][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:45:14][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:46:23][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:47:32][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:48:41][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:49:49][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:50:57][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:52:06][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:53:15][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:54:24][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:55:33][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:56:42][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:57:50][worker] Redis error: Timeout reading from socket, retrying in 10s
[23:58:58][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:00:06][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:01:15][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:02:23][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:03:32][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:04:41][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:05:49][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:06:58][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:08:08][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:09:16][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:10:25][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:11:35][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:12:43][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:13:52][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:15:00][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:16:08][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:17:17][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:18:26][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:19:35][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:20:44][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:21:53][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:23:01][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:24:10][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:25:20][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:26:28][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:27:37][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:28:46][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:29:56][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:31:04][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:32:14][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:33:24][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:34:33][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:35:42][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:36:49][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:37:59][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:39:08][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:40:17][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:41:26][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:42:34][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:43:43][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:44:51][worker] Redis error: Timeout reading from socket, retrying in 10s
[00:46:00][worker] Redis error: Timeout reading from socket, retrying in 10s
